"key","value","expiration"
"key","owner","expiration"
"id","kode_produk","nama_produk","berat_produk","diameter_produk","lebar_produk","keterangan","status","no_gs","created_at","updated_at"
"503","SL24-111078(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2849",NULL,NULL,NULL,"0","GSX24-100845","2024-12-16 02:04:53","2024-12-16 02:04:53"
"504","SL24-111079(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2829",NULL,NULL,NULL,"0","GSX24-100845","2024-12-16 02:04:53","2024-12-16 02:04:53"
"505","SL24-111079(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5658",NULL,NULL,NULL,"0","GSX24-100845","2024-12-16 02:04:53","2024-12-16 02:04:53"
"506","SL24-111083(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5062",NULL,NULL,NULL,"0","GSX24-100845","2024-12-16 02:04:53","2024-12-16 02:04:53"
"507","SL24-111078(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5698",NULL,NULL,NULL,"0","GSX24-100846","2024-12-16 02:04:53","2024-12-16 02:04:53"
"508","SL24-111080(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5130",NULL,NULL,NULL,"0","GSX24-100846","2024-12-16 02:04:53","2024-12-16 02:04:53"
"509","SL24-111080(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2565",NULL,NULL,NULL,"0","GSX24-100846","2024-12-16 02:04:53","2024-12-16 02:04:53"
"510","SL24-111083(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2531",NULL,NULL,NULL,"0","GSX24-100846","2024-12-16 02:04:53","2024-12-16 02:04:53"
"511","SL24-111084(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5312",NULL,NULL,NULL,"0","GSX24-100846","2024-12-16 02:04:53","2024-12-16 02:04:53"
"512","SL24-111084(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2656",NULL,NULL,NULL,"0","GSX24-100847","2024-12-16 02:04:53","2024-12-16 02:04:53"
"513","SL24-111085(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2648",NULL,NULL,NULL,"0","GSX24-100847","2024-12-16 02:04:53","2024-12-16 02:04:53"
"514","SL24-111085(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5296",NULL,NULL,NULL,"0","GSX24-100847","2024-12-16 02:04:53","2024-12-16 02:04:53"
"515","SL24-111091(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2453",NULL,NULL,NULL,"0","GSX24-100847","2024-12-16 02:04:53","2024-12-16 02:04:53"
"516","SL24-111086(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2696",NULL,NULL,NULL,"0","GSX24-100847","2024-12-16 02:04:53","2024-12-16 02:04:53"
"517","SL24-111091(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","4906",NULL,NULL,NULL,"0","GSX24-100847","2024-12-16 02:04:53","2024-12-16 02:04:53"
"518","SL24-111191(2) B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","3262",NULL,NULL,NULL,"0","GSX24-100847","2024-12-16 02:04:53","2024-12-16 02:04:53"
"519","SL24-111086(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5392",NULL,NULL,NULL,"0","GSX24-100848","2024-12-16 02:04:53","2024-12-16 02:04:53"
"520","SL24-111087(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5326",NULL,NULL,NULL,"0","GSX24-100848","2024-12-16 02:04:53","2024-12-16 02:04:53"
"521","SL24-111087(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2663",NULL,NULL,NULL,"0","GSX24-100848","2024-12-16 02:04:53","2024-12-16 02:04:53"
"522","SL24-111088(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2674",NULL,NULL,NULL,"0","GSX24-100848","2024-12-16 02:04:53","2024-12-16 02:04:53"
"523","SL24-111088(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5348",NULL,NULL,NULL,"0","GSX24-100848","2024-12-16 02:04:53","2024-12-16 02:04:53"
"524","SL24-111089(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5320",NULL,NULL,NULL,"0","GSX24-100849","2024-12-16 02:04:53","2024-12-16 02:04:53"
"525","SL24-111089(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2660",NULL,NULL,NULL,"0","GSX24-100849","2024-12-16 02:04:53","2024-12-16 02:04:53"
"526","SL24-111090(2) C","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","2768",NULL,NULL,NULL,"0","GSX24-100849","2024-12-16 02:04:53","2024-12-16 02:04:53"
"527","SL24-111090(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5536",NULL,NULL,NULL,"0","GSX24-100849","2024-12-16 02:04:53","2024-12-16 02:04:53"
"528","SL24-111095(1) A-B","2.40 x 525mm Z35 D490 NEXIUM® PASSIVATION MgZn","5724",NULL,NULL,NULL,"0","GSX24-100849","2024-12-16 02:04:53","2024-12-16 02:04:53"
